Nombre en el dashboard de Visualización;Nombre en el esquema REPORTING;Tabla en esquema reporting;ID asociado(Primary Key-Formato1)-vinculo que relaciona la variable;Nombre de esta variable en el esquema STAGE;Tabla en esquema Stage;Tipo de Variable y Descripción Técnica;Panel(es) de Uso(nombre o título del panel en el dashboard);Tipo de Visual(tipo de grafico, card o elemento que se usará en el dashboard);Observacion en reporting(algun comentario importante a tomar en cuenta);Ident Dashboard Element(número del elemento o grafico dentro de cada panel del dashboard;Frecuencia(si es una varoable estática o de otro tipo(instantánea, diaria, horaria, etc);Lógica de agregación(para BI);Comportamiento de filtro(para BI)
Tilt Alarm(Flag));inclinacion_severidad_flag;reporting.dataset_current_values;calculado;-;-;"Define los cambios de estado de la alarma: ""Normal"", ""Alerta"", ""Falla""";Hydralift T4 Surface Operations;Grafico Bulleyes;Crear variable en reporting current_values;19;Instantánea;LAST;Último registro en rango
Hydralift unit Load(%);hydralift_unit_load_pct;reporting.dataset_current_values;calculado;-;-;Valor instantáneo del %Carga de la unidad. Calculado.. Fórmula: (ID_76/ID_46)*100. Referencia en formato 1: id=80;Hydralift T4 Surface Operations;Card/ Grafico acelerómetro con alerta;No encontrado/revisar;20;Instantánea;LAST;Último valor disponible
Hydralift unit Load(%)(target_low);hydralift_unit_load_status_eff_low;reporting.dim_pozo;calculado;-;-;Valor de 50%. Por debajo de esto, el equipo está subutilizado. Dato suministrado por el cliente;Hydralift T4 Surface Operations;Card/ Grafico acelerómetro con alerta;Crear variable en reporting.DIM_POZO. Valor de 50%. Por debajo de esto, el equipo está subutilizado;20;Estática;LAST;N/A
Hydralift unit Load(%)(target_high);hydralift_unit_load_status_eff_high;reporting.dim_pozo;calculado;-;-;Valor de 95%. Es el límite máximo de producción. Dato suministrado por el cliente;Hydralift T4 Surface Operations;Card/ Grafico acelerómetro con alerta;Crear variable en reporting.DIM_POZO.Valor de 95%. Es el límite máximo de producción;20;Estática;LAST;N/A
Current Road Load(%);road_load_pct_act;reporting.dataset_current_values;calculado;-;-;%Carga_varillas = Maximum Road Load / Rated min rod string load. Referencia en formato 1: id=81.;Hydralift T4 Surface Operations;Card/ Grafico acelerómetro con alerta;Crear variable en reporting.current_values. Fórmula:( ID 76 / ID 47)*100. ;21;Instantánea;LAST;Inst → dataset_current_value
Rated Road Load(%)(nominal);carga_minima_nominal_sarta;reporting.dim_pozo;47;carga_minima_nominal_sarta;stage.tbl_pozo_maestra;%Carga_varillas = Maximum Road Load / Rated mid rod string load. Referencia en formato 1: id=47;Hydralift T4 Surface Operations;Card/ Grafico acelerómetro con alerta;Crear variable en reporting.DIM_POZO. Peso nominal minimo de la sarta de varillas.  (Capacidad de diseño).;21;Estática;LAST;N/A
Current Road Load(%)(target_low);road_load_status_eff_low;reporting.dim_pozo;calculado;-;-;Valor de 50%. Por debajo de esto, el equipo está subutilizado. Dato suministrado por el cliente;Hydralift T4 Surface Operations;Card/ Grafico acelerómetro con alerta;Constante: Valor de 50 (Piso de eficiencia).;21;Estática;LAST;N/A
Current Road Load(%)(target_high));road_load_status_eff_high;reporting.dim_pozo;calculado;-;-;Valor de 95%. Es el límite máximo de producción. Dato suministrado por el cliente;Hydralift T4 Surface Operations;Card/ Grafico acelerómetro con alerta;Constante: Valor de 95 (Techo de eficiencia);21;Estática;LAST;N/A
Daily POC Count;numero_fallas;reporting.FACT_OPERACIONES_DIARIAS;115;Numero_Fallas;stage.tbl_pozo_produccion;Conteo de eventos de fallas diario conteo_poc_diario;Hydralift T4 Surface Operations;Garfico de barras;;22;Diaria;SUM;Se agrega por rango de fechas seleccionado.
Daily POC Count;numero_fallas_avg_7d;reporting.FACT_OPERACIONES_DIARIAS;115;conteo_poc_diario;stage.tbl_pozo_produccion;promedio movil de últimos 7 dias de Conteo de eventos de fallas diario conteo_poc_diario;Hydralift T4 Surface Operations;linea de tendencia promedio;CREAR EN reporting.fact_operaciones_diarias4;22;Semanal;AVG-7DAY MOVIL;Se agrega por rango de fechas seleccionado.
MTBF(linechart-day);kpi_mtbf_hrs;reporting.FACT_OPERACIONES_DIARIAS;calculado;-;-;Tiempo Medio Entre Fallas (KPI 5)(hr). Id=102/ ID=115;Business KPIs;Grafico Tendencia;diaria;31;Diaria;SUM;Se agrega por rango de fechas seleccionado.
MTBF;kpi_mtbf_hrs_act;reporting.dataset_current_values;calculado;-;-;Tiempo Medio Entre Fallas (KPI 5)(hr). Id=102/ ID=115;Business KPIs/ Hydralift T4 Surface Operations;Card KPI;Valor Card: Es el MTBF calculado al cierre del día anterior para mostrar en el tablero principal;23;Instantánea;LAST;Último registro en rango
MTBF(baseline);mtbf_baseline;reporting.dim_pozo;calculado;-;-;Parámetros de Diseño. Valor baseline suministrado por el cliente al momento de iniciar;Business KPIs;Grafico Tendencia;Parámetros de Diseño.  Valor baseline suministrado por el cliente al momento de iniciar;31;Estática;LAST;N/A
MTBF(target);mtbf_target;reporting.dataset_current_values;calculado;-;-;Dato especificado por el cliente. Calculo en función del tiempo de operación no programado. Fórmula: (ID 102) * 0.95. Representa el 95% de las horas totales de operación que el equipo debería alcanzar sin fallas.;Business KPIs/ Hydralift T4 Surface Operations;Card KPI-texto;Calculo en función del tiempo de operación no programado. Fórmula: (ID 102) * 0.95. Representa el 95% de las horas totales de operación que el equipo debería alcanzar sin fallas. Para visualización debe estar tambien en reportin.dataset_current_values;"""23-31""";Estática;LAST;N/A
MTBF(%var);mtbf_variance_pct;reporting.dataset_current_values;calculado;-;-;Valor Card (12,4%): Representa cuánto sobrepasa el actual al target.. Fórmula: ((MTBF_actual_val / MTBF_target - 1) * 100.;Business KPIs/ Hydralift T4 Surface Operations;Card KPI-texto;Valor Card (12,4%): Representa cuánto sobrepasa el actual al target.. Fórmula: ((MTBF_actual_val / MTBF_target) - 1) * 100.;23;Instantánea;LAST;Último registro en rango
MTBF(color alert);mtbf_status_color;reporting.dataset_current_values;calculado;-;-;Semáforo: Verde (#00FF00) si MTBF_variance_pct > 0. Rojo (#FF0000) si es < 0.;Business KPIs/ Hydralift T4 Surface Operations;Card KPI-status color de texto;Semáforo: Verde (#00FF00) si MTBF_variance_pct > 0. Rojo (#FF0000) si es < 0.;23;Estática;LAST;Último registro en rango
Vol.Eff(%)(current);kpi_vol_eff_pct_act;reporting.dataset_current_values;calculado;-;-;Eficiencia Volumétrica (KPI 1) valor actual;Business KPIs;Card KPI;Crear tabla reporting_current_values;24;Instantánea;LAST;Último registro en rango
Vol.Eff(%)(trend);kpi_efic_vol_pct;reporting.FACT_OPERACIONES_DIARIAS;calculado;-;-;Eficiencia Volumétrica (KPI 1). Valor promedio dia;Business KPIs;Line chart;Grafico de tendencia;27;Diaria;AVG;Se agrega por rango de fechas seleccionado.
Vol.Eff(%)(baseline);kpi_vol_eff_baseline;reporting.dim_pozo;calculado;-;-;Parámetros de Diseño. Eficiencia Volumétrica (KPI 1). Valor baseline suministrado por el cliente al momento de iniciar;Business KPIs;Line chart en grafico de tendencia de KPI Vol.Eff(%);Crear en  tabla reporting.DIM_POZO;27;Estática;LAST;N/A
Vol.Eff(%)(target);vol_eff_target;reporting.dim_pozo;calculado;-;-;target. Meta de mejora definida como el Valor Baseline mas el 10%. Calculo de Meta: Valor Baseline * 1.10 (Representa el incremento del 10% requerido sobre la base);Business KPIs;Card KPI-texto / / Line chart en grafico de tendencia de KPI Vol.Eff(%);Crear tabla reporting_current_values y diaria para visualización. target. Meta de mejora definida como el Valor Baseline mas el 10%.  Calculo de Meta: Valor Baseline * 1.10 (Representa el incremento del 10% requerido sobre la base);"""24-27""";Estática;LAST;N/A
Vol.Eff(%)( color form);vol_eff_status_color;reporting.dataset_current_values;calculado;-;-;"Semaforización: 1. Normal #00FF00 (Verde)
2. Warning #FFFF00 (Amarillo) 3. Alert #FFA500 (Naranja)
4. Critical #FF0000 (Rojo).";Business KPIs;Circulo color status;Crear tabla reporting_current_values . Semaforización: #00FF00 (Normal), #FFFF00 (Warning), #FFA500 (Alert), #FF0000 (Critical).;24;Instantánea;LAST;Último registro en rango
Kwh/bbl;kpi_kwh_bbl;reporting.FACT_OPERACIONES_DIARIAS;71;kwh_por_barril;stage.tbl_pozo_produccion;Costo Energético por Barril (KPI 3).;Business KPIs;Grafico Tendencia vs target;;29;Diaria;AVG;Se agrega por rango de fechas seleccionado.
Kwh/bbl(current);kpi_kwh_bbl_act;reporting.dataset_current_values;71;kwh_por_barril;stage.tbl_pozo_produccion;Costo Energético por Barril (KPI 3). Valor actual;Business KPIs;Card KPI;Crear tabla reporting_current_values;25;Instantánea;LAST;Instantánea → dataset_current_values
Kwh/bbl(baseline);kpi_kwh_bbl_baseline;reporting.dim_pozo;calculado;-;-;Crear en tabla reporting.DIM_POZO. Valor de referencia fijo de 2.8 kWh/bbl para consumo especifico.;Business KPIs;Line chart en grafico de tendencia de KPI Kwh/bbl;Crear tabla reporting.DIM_POZO. Baseline=2,8 kwh/bbl;29;Estática;LAST;N/A
Kwh/bbl(target);kpi_kwh_bbl_target;reporting.dim_pozo;calculado;-;-;Meta de reduccion definida como Baseline menos 15%. Calculo: Valor Baseline * 0.85;Business KPIs;Card KPI-texto / / Line chart en grafico de tendencia de KPI Kwh/bbl;Crear tabla reporting_current_values y diaria para visualizacion. Meta de reduccion definida como Baseline menos 15%. Calculo: Valor Baseline * 0.85;"""25-29""";Estática;LAST;N/A
SAT_Event_Marker;sat_event_marker;reporting.FACT_OPERACIONES_DIARIAS;calculado;-;-;Linea vertical referencial punteada para identificar la fecha y hora de instalacion del equipo. prueba SAT.;Business KPIs;Linea vertical en graficos de tedencia de panel Busness KPIs, usando de referencia la hora/dia de instalcion de equipo o de iicio de prueba SAT;Linea vertical referencial punteada para identificar la fecha y hora de instalacion del equipo. prueba SAT.;"""26-27-28-29-30-31""";Estática;LAST;N/A
Kwh/bbl(color form);kpi_kwh_bbl_status_color;reporting.dataset_current_values;calculado;-;-;"Semaforización: 1. Normal #00FF00 (Verde)
2. Warning #FFFF00 (Amarillo) 3. Alert #FFA500 (Naranja)
4. Critical #FF0000 (Rojo). Basado en valor actual vs target.";Business KPIs;Circulo color status;Crear tabla reporting_current_values;25;Instantánea;LAST;Último registro en rango
AI Accuracy(daily);ai_accuracy_day;reporting.FACT_OPERACIONES_DIARIAS;Universal;-;Calculado;Proviene de UNIVERSAL, carta dinagrafica. Promedio día;Business KPIs;Grafico Tendencia vs target;Revisar con Marcelo;30;Diaria;AVG;Se agrega por rango de fechas seleccionado.
AI Accuracy(current);ai_accuracy_act;reporting.dataset_current_values;Universal;-;Calculado;porcentaje de precisión en la predicción. Tomado de universal;Business KPIs;Card KPI;Revisar con Marcelo;26;Instantánea;LAST;Instantánea → dataset_current_values
AI Accuracy(bseline);ai_accuracy_baseline;reporting.dim_pozo;calculado;-;-;dato definidio al inicio de las operaciones. Definido en conjunto por itmeet y cliente;Business KPIs;Line chart baseline , en grafico de tendencia de AI Accuracy;Revisar con Marcelo;30;Estática;LAST;N/A
AI Accuracy(target);ai_accuracy_target;reporting.dim_pozo;calculado;-;-;definidio por itmeet;Business KPIs;Card KPI-texto / / Line chart en grafico de tendencia de AI_Accuracy;Revisar con Marcelo;"""26-30""";Estática;LAST;N/A
AI Accuracy(satatus color);ai_accuracy_status_color;reporting.dataset_current_values;calculado;-;-;"Semaforización: 1. Normal #00FF00 (Verde)
2. Warning #FFFF00 (Amarillo) 3. Alert #FFA500 (Naranja)
4. Critical #FF0000 (Rojo). Basado en valor actual vs target.";Business KPIs;Circulo color status;"Crear variable en reporting.current_values.
Normal: val >= 95 Verde (#00FF00).
Warning: val >= 90 AND val < 95 Amarillo (#FFFF00)
.Alert: val >= 80 AND val < 90   Naranja (#FFA500).
Critical: val < 80  Rojo (#FF0000).";26;Instantánea;LAST;Último registro en rango
Uptime(%)(day-line chart);kpi_uptime_pct;reporting.FACT_OPERACIONES_DIARIAS;106;porcentaje_operacion_diario;stage.tbl_pozo_produccion;Porcentaje de operación diario;Business KPIs/ Hydralift T4 Surface Operations;Grafico Tendencia;eliminar KPI_DOP_pct  y dejar solo kpi_uptime_pct en reporting. Fact_operaciones _diarias;28;Diaria;AVG;Se agrega por rango de fechas seleccionado.
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
